calltry,date,time,duration,lastprompt,UID,village,Treatment,month,date,year
1,8/24/2011,8/24/11 14:20,207,thankyou.wav,1022035,MOKASAR,1,8,24,11
1,8/24/2011,8/24/11 14:21,215,thankyou.wav,1023021,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:21,395,thankyou.wav,1023017,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:30,N/A,N/A,1023026,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:30,N/A,N/A,1023028,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:30,204,08-24-2011_105411.mp3,1023022,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:30,214,thankyou.wav,1023030,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:30,209,thankyou.wav,1023024,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:30,215,thankyou.wav,1023037,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:30,N/A,N/A,1023035,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:30,N/A,N/A,1023025,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:30,214,thankyou.wav,1023027,MOTA KANGHASAR,2,8,24,11
1,8/24/2011,8/24/11 14:30,N/A,N/A,1023036,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:40,N/A,N/A,1027001,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:40,N/A,N/A,1027013,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:40,N/A,N/A,1023040,MOTA KANGHASAR,1,8,24,11
1,8/24/2011,8/24/11 14:40,N/A,N/A,1027011,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:40,N/A,N/A,1027004,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:40,N/A,N/A,1027009,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:40,214,thankyou.wav,1023007,MOTA KANGHASAR,3,8,24,11
1,8/24/2011,8/24/11 14:41,214,thankyou.wav,1027016,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:41,27,08-24-2011_105411.mp3,1027008,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:41,215,thankyou.wav,1027006,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:50,214,thankyou.wav,1027031,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:50,N/A,N/A,1027028,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:50,25,08-24-2011_105411.mp3,1027019,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:50,32,08-24-2011_105411.mp3,1027021,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:50,N/A,N/A,1027033,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:50,215,thankyou.wav,1027025,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 14:50,N/A,N/A,1027018,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:50,214,thankyou.wav,1027023,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 14:50,N/A,N/A,1031028,PIPLIYA (DHORA),1,8,24,11
1,8/24/2011,8/24/11 14:50,4,welcome.wav,1027022,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 15:00,N/A,N/A,1030006,PANCHAVADA,2,8,24,11
1,8/24/2011,8/24/11 15:00,N/A,N/A,1027034,NANI MORSAL,2,8,24,11
1,8/24/2011,8/24/11 15:00,90,08-24-2011_105411.mp3,1027035,NANI MORSAL,1,8,24,11
1,8/24/2011,8/24/11 15:00,N/A,N/A,1030005,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:01,215,thankyou.wav,1030003,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:01,324,thankyou.wav,1030001,PANCHAVADA,1,8,24,11
1,8/24/2011,8/24/11 15:01,149,08-24-2011_105411.mp3,1027036,NANI MORSAL,1,8,24,11
